No,HID,Hotel-Name,UPDATE URL 15 JAN,SLUG,Supplier-or-Direct,Country,SEARCH
1884,897054,hi-cozy-youth-hostel-east-nanjing-road-the-bund,www.gother.com/th-th/hotels/china/shanghai/people-square-and-south-bund-huangpu/hi-cozy-youth-hostel-east-nanjing-road-the-bund,china/shanghai/people-square-and-south-bund-huangpu/hi-cozy-youth-hostel-east-nanjing-road-the-bund,Supplier,china,32
273,763031,Metro-Hotel,www.gother.com/th-th/hotels/thailand/bangkok/bang-rak/metro-hotel,thailand/bangkok/bang-rak/metro-hotel,DIRECT,thailand,31
1567,386,the-mira-hong-kong,www.gother.com/th-th/hotels/hong-kong/kowloon/yau-tsim-mong/the-mira-hong-kong,hong-kong/kowloon/yau-tsim-mong/the-mira-hong-kong,Supplier,hong-kong,31
1583,310,novotel-citygate-hong-kong-hotel,www.gother.com/th-th/hotels/hong-kong/lantau-island/tung-chung/novotel-citygate-hong-kong-hotel,hong-kong/lantau-island/tung-chung/novotel-citygate-hong-kong-hotel,Supplier,hong-kong,31
1624,330336,good-9-stay-inn,www.gother.com/th-th/hotels/taiwan/taipei/ximending/good-9-stay-inn,taiwan/taipei/ximending/good-9-stay-inn,Supplier,taiwan,31
1629,841061,fullon-hotel-taoyuan-airport-access-mrt-a8,www.gother.com/th-th/hotels/taiwan/taoyuan/guishan/fullon-hotel-taoyuan-airport-access-mrt-a8,taiwan/taoyuan/guishan/fullon-hotel-taoyuan-airport-access-mrt-a8,Supplier,taiwan,31
1863,184722,park-hyatt-shanghai,www.gother.com/th-th/hotels/china/shanghai/pudong/park-hyatt-shanghai,china/shanghai/jing-an/park-hyatt-shanghai,Supplier,china,31
1864,9209,shanghai-hongqiao-airport-boyue-hotel-airchina,www.gother.com/th-th/hotels/china/shanghai/hongqiao-airport-and-national-convention-center/shanghai-hongqiao-airport-boyue-hotel-airchina,china/shanghai/minhang/shanghai-hongqiao-airport-boyue-hotel-airchina,Supplier,china,31
1866,69250,andaz-xintiandi-shanghai-by-hyatt,www.gother.com/th-th/hotels/china/shanghai/huangpu/andaz-xintiandi-shanghai-by-hyatt,china/shanghai/huangpu/andaz-xintiandi-shanghai-by-hyatt,Supplier,china,31
1867,873096,yizhi-hotel-guangzhou-beijing-road-chen-clan-ancestral-hall-subway-station,www.gother.com/th-th/hotels/china/guangdong/guangzhou/yizhi-hotel-guangzhou-beijing-road-chen-clan-ancestral-hall-subway-station,china/guangdong/guangzhou/yizhi-hotel-guangzhou-beijing-road-chen-clan-ancestral-hall-subway-station,Supplier,china,31
